ProductID,ProductName,Category,Brand,BarcodeNumber (UPC/EAN),ManufacturerCode,ProductCode,PackageSize,Price,ManufactureDate,ExpiryDate
1,Coca-Cola 500ml,Beverage,Coca-Cola,49000043101,490000,43101,500ml,40,12-05-2025,12-11-2025
2,Lays Classic Chips 52g,Snacks,PepsiCo,28400090202,284000,90202,52g,20,05-06-2025,05-12-2025
3,Amul Taaza Milk 1L,Dairy,Amul,8900000000000,8901262,123456,1L,64,20-04-2025,20-10-2025
4,Pond's super light gel,Personal Care,Pond's,8901030865404,8901030,765432,25ml,55,30-04-2022,30-09-2025
5,Dettol Handwash 200ml,Personal Care,Reckitt,8900000000000,8901396,356781,200ml,99,01-05-2025,01-11-2025
6,Maggie Noodles 70g,Packaged Food,Nestle,8900000000000,8901058,843210,70g,14,15-06-2025,15-09-2025
7,Taj Mahal Tea 500g,Beverage,HUL,8900000000000,8901030,532109,500g,290,18-02-2025,18-08-2025
8,Britannia Marie Gold 200g,Biscuits,Britannia,8900000000000,8901063,56784,200g,35,22-05-2025,22-11-2025
9,Colgate Toothpaste 150g,Personal Care,Colgate,8900000000000,8901314,9876,150g,115,10-01-2025,10-07-2025
10,Parle-G Biscuits 100g,Biscuits,Parle,8900000000000,8901719,43212,100g,10,03-06-2025,03-12-2025
11,Pepsi 500ml,Beverage,PepsiCo,49000043102,490000,43102,500ml,38,15-04-2025,15-10-2025
12,Sunfeast Dark Fantasy 150g,Biscuits,ITC,8900000000000,8901054,123456,150g,60,12-03-2025,12-09-2025
13,Amul Butter 100g,Dairy,Amul,8900000000000,8901262,123457,100g,55,20-02-2025,20-08-2025
14,L'OREAL Hair Serum,Personal Care,L'OREAL,6923700970449,8901030,765433,100ml,599,10-05-2023,10-09-2025
15,Horlicks 500g,Beverage,GSK,8900000000000,8901122,123456,500g,250,05-04-2025,05-10-2025
16,Kellogg's Corn Flakes 250g,Breakfast,Kellogg's,8900000000000,8901012,123456,250g,150,15-01-2025,15-07-2025
17,Maggi Masala Noodles 70g,Packaged Food,Nestle,8900000000000,8901058,843211,70g,15,18-03-2025,18-09-2025
